,title,content,category
0,ŠKODA India presents all-new ŠKODA KUSHAQ MONTE CARLO,"ŠKODA India presents the all-new ŠKODA KUSHAQ Monte Carlo starting from ₹15.99 lakh (ex-showroom price), featuring a glossy black grille, R17 Dual-tone Vega alloy wheels, and Monte Carlo badges on front fenders, designed for driving enthusiasts who prefer to stand out. Available in Tornado Red & Candy White, Monte Carlo is a fusion of stylish aesthetics & technology, said ŠKODA.",automobile
1,Aerospace startup's CTO flies company's ₹65 lakh vehicle to work in Tuscany,"Aerospace company Jetson recently shared a video of its Co-founder and CTO Tomasz Patan travelling from home to work in the company's eVTOL (electric vertical take-off and landing) aircraft in Tuscany. The vehicle, which is worth $83,600 (over ₹65 lakh), reduced Patan's usual commute time by 88-90%. Jetson claims it's the world's first-ever commute to work using an eVTOL aircraft.",automobile
2,Video shows Tesla car on Autopilot trying to turn in front of an oncoming tram in US,"A video has surfaced online showing a Tesla car on Autopilot making an attempt to turn directly in front of an oncoming tram in US. In the video, the car moved to make the turn as soon as the traffic light turned green, without waiting for the tram to pass by. However, the driver immediately intervened, saying, ""That's not okay.""",automobile
3,"Why should you not be penalised: Govt in notice to Ola Electric, others over EV fires","The Centre has sent notices to Ola Electric, Pure EV and Okinawa asking them to explain why they should not be penalised for the recent electric scooter fires, some of them reportedly caused by battery failures. They have been given time till July-end to respond to the notices. The government has also formed two committees to probe the fire incidents.",automobile
4,"Electric car falls from showroom's 3rd floor during test drive in China, 2 killed","Two workers were killed after an electric car fell from the third floor during its test drive in a company's showroom in China. Electric vehicle maker Nio said that while an investigation had been launched, the accident was not caused by the vehicle. However, after social media users criticised this, Nio took down the statement and posted its edited version.",automobile
5,"EV battery with a range of 1,000 km on single charge unveiled by Chinese firm","China's Contemporary Amperex Technology (CATL) has unveiled an electric car battery which it claims has a range of over 1,000 kilometers on a single charge. The battery, dubbed 'Qilin', is at least 13% more powerful than the one being planned by Tesla, CATL said. CATL, which is the world's largest EV battery maker, will start manufacturing the battery next year.",automobile
6,Fire breaks out at Okinawa EV dealership in Mangaluru due to a short circuit,"A fire broke out at Okinawa's electric scooter showroom in Mangaluru due to an electrical short circuit on Friday. As per a report, Okinawa Autotech said that it is in touch with the dealership and extending all necessary support. Earlier, an Okinawa Autotech dealership in Chennai was burnt down to ashes, reportedly due to a short-circuit at the outlet.",automobile
7,Tesla placed in water pit in US after it spontaneously caught fire in junkyard,"Firefighters used 4,500 gallons of water to put out a fire in a Tesla that spontaneously burst into flames and kept reigniting in a junkyard in the US. Sacramento Metropolitan Fire District also shared visuals of the burning car. Eventually, to douse the fire, firefighters dug a pit, filled it with water and placed the car inside it.",automobile
8,Tesla deliveries drop by 18% in Q2 due to COVID-19 shutdown in China,"Due to China's COVID-19-related shutdown and its subsequent disruption of the company's production and supply chain, Tesla delivered 17.9% fewer electric vehicles in the second quarter than the previous quarter. Tesla said while June 2022 was the highest vehicle production month in the company's history, the preceding quarter ended a nearly two-year-long run of record quarterly deliveries.",automobile
9,"Hyundai, Kia raided over illegal defeat devices in diesel vehicles in Germany","German authorities have raided Hyundai and Kia over allegations that they put over 210,000 diesel vehicles with suspected illegal defeat devices onto the road. Defeat devices are mechanisms or software that can change vehicle emissions levels. In 2015, Volkswagen admitted to using software to cheat US emissions tests on some diesel engines.",automobile
10,Tesla free to come but its special treatment not in India's interest: Ola CEO,"Ola Electric's CEO Bhavish Aggarwal has said, ""Tesla is free to come in and put up a shop here...They just want to be treated differently from others, which I believe isn't in the interests of India."" Earlier, Tesla CEO Elon Musk had said the company won't build its manufacturing
plant in any location where it can't sell its cars first.",automobile
